station,x,y,z
CVTC,526322.2412266388,1107777.763688768,3306
CVTR,526382.7254404521,1107965.8241182193,3225
VTCE,526659.694837605,1108474.777737982,3178
VTCG,526463.3987830946,1107379.7147899535,3136
VTCV,529963.0961362841,1103887.552909689,1664
VTLA,524644.3206902798,1106051.2563471305,2724
VTRT,522725.8752690351,1105972.5816117844,2709
VTUC,526089.7133140462,1108408.0024003577,3191
VTUN,525925.392700516,1108253.0470354378,3239
