20160311191601.41	20160311191637.67	20160311191947.48	
20160312181550.31	20160312181612.05	20160312181806.18	
20160313113934.56	20160313113953.94	20160313114101.76	
20160313164648.82	20160313164656.61	20160313164748.75	
20160313180131.98	20160313180139.04	20160313180208.53	
20160313181409.55	20160313181446.43	20160313181621.45	
20160313205030.12	20160313205100.43	20160313205352.66	
20160313223836.96	20160313223848.64	20160313223938.84	
20160315065959.66	20160315070005.58	20160315070139.82	
20160316230330.40	20160316230335.42	20160316230347.48	
20160316232239.26	20160316232243.61	20160316232256.76	
20160316015555.21	20160316015605.74	20160316015700.81	
20160317234518.73	20160317234525.26	20160317234632.30	
20160318001018.29	20160318001050.85	20160318001138.51	
20160318010126.31	20160318010132.55	20160318010224.39	
20160318053744.85	20160318053801.62	20160318053909.17	
20160318065446.81	20160318065515.77	20160318065707.32	
20160318071827.38	20160318071847.77	20160318072209.80	
20160318082745.29	20160318082818.12	20160318083251.03	
20160318084003.76	20160318084032.04	20160318084116.46	
20160318093908.21	20160318093930.86	20160318094007.25	
20160318112326.62	20160318112352.40	20160318112605.21	
20160318120247.81	20160318120336.37	20160318120420.51	
20160318122301.29	20160318122317.70	20160318122510.05	
20160318123058.39	20160318123125.75	20160318123415.48	
20160318131016.90	20160318131055.50	20160318131247.92	
20160318132937.22	20160318132956.25	20160318133057.40	
20160318135031.48	20160318135056.95	20160318135419.60	
20160318153309.33	20160318153348.45	20160318153431.82	
20160318155050.93	20160318155145.42	20160318155426.47	
20160318160443.43	20160318160501.01	20160318160552.46	
20160318163102.17	20160318163109.43	20160318163155.06	
20160319045747.64	20160319045759.72	20160319045924.17	
20160319062843.05	20160319062943.82	20160319063153.79	
20160319070638.75	20160319070651.26	20160319070830.90	
20160319071220.05	20160319071234.38	20160319071307.85	
20160319071413.14	20160319071419.44	20160319071447.04	
20160319071835.28	20160319071855.23	20160319071938.85	
20160319091037.27	20160319091051.27	20160319091329.79	
20160319105518.68	20160319105540.21	20160319105718.85	
20160319110128.56	20160319110141.02	20160319110310.55	
20160319114742.49	20160319114854.46	20160319115134.11	
20160319160644.57	20160319160653.64	20160319160724.32	
20160319173620.46	20160319173650.51	20160319173809.12	
20160319181644.73	20160319181704.47	20160319181818.73	
20160319192240.98	20160319192255.27	20160319192325.07	
20160319201015.84	20160319201029.53	20160319201123.42	
20160319201825.85	20160319201849.93	20160319201956.56	
20160320053643.76	20160320053712.71	20160320053823.11	
20160320072709.56	20160320072737.02	20160320072810.29	
20160320073106.64	20160320073159.28	20160320073243.17	
20160320073805.30	20160320073838.85	20160320073930.88	
20160320075137.90	20160320075210.12	20160320075341.83	
20160320090304.84	20160320090318.04	20160320000000.00	
20160320093504.18	20160320093519.30	20160320093644.42	
20160320093740.68	20160320093816.01	20160320094000.86	
20160320094831.73	20160320094918.12	20160320095002.20	
20160320100116.52	20160320100134.36	20160320100226.75	
20160320100642.90	20160320100705.99	20160320100751.51	
20160320101834.99	20160320101843.44	20160320101904.07	
20160320112526.69	20160320112609.54	20160320112820.83	
20160320113251.67	20160320113319.93	20160320113347.25	
20160320113911.27	20160320113934.71	20160320114017.45	
20160320114019.94	20160320114035.42	20160320114145.91	
20160320130359.72	20160320130428.85	20160320130517.35	
20160320131525.63	20160320131559.73	20160320131702.30	
20160320132620.77	20160320132643.13	20160320132918.01	
20160321234645.66	20160321234711.83	20160321234820.07	
20160322012959.94	20160322013045.17	20160322013128.84	
20160322013916.50	20160322013930.85	20160322014001.03	
20160322014033.53	20160322014041.38	20160322014120.98	
20160322015740.58	20160322015756.49	20160322015845.79	
20160322022510.24	20160322022524.32	20160322022636.79	
20160322043427.44	20160322043444.99	20160322043538.67	
20160322043822.83	20160322043857.60	20160322044016.91	
20160322045520.26	20160322045534.69	20160322045603.31	
